"","ANO","UO","QTDE_RECOMENDACOES","IMPLEMENTADAS","NÃO_IMPLEMENTADAS","CANCELADAS","EM_IMPLEMENTACAO","A_IMPLEMENTAR","PERCENTUAL_NAO_ENCAMINHADAS","PERCENTUAL_CANCELADAS","RECOMENDACOES_ATIVAS","PERCENTUAL_IMPLEMENTADAS","PERCENTUAL_NAO_IMPLEMENTADAS","RC1","RC2","RC3","RC1n","RC2n","RC3n","escore"
"41",2019,"DETRAN",40,33,7,0,0,0,0.825,0,40,1,0.175,0.120548059610073,-0.377524337687734,-0.181839856493198,0.165409017481206,0.20351073604108,0.0287681272299465,14.6977642504718
"42",2019,"CASA CIVIL",38,31,3,0,4,0,0.921052631578947,0,38,1,0.0789473684210526,0.0800372007724695,-0.668693659083583,-0.159026052136198,0.159101063399236,0.115223919247031,0.0316135800114232,11.5556991658769
"43",2019,"SECEL",38,28,0,0,10,0,1,0,38,1,0,0.0789360273295405,-0.91486120837417,-0.138361187054034,0.15892959945812,0.0405823010275381,0.0341910062445382,9.13649569071331
"44",2020,"SEMA",37,5,15,6,0,11,0.116279069767442,0.162162162162162,31,1.19354838709677,0.483870967741935,0.0800955301279664,0.682415672077659,7.60514366855383,0.159110145875063,0.524900122142019,1,41.6707464869059
"45",2020,"SEPLAG",37,8,12,2,15,0,0.58974358974359,0.0540540540540541,35,1.05714285714286,0.342857142857143,0.0226938594959952,0.255169544508309,-0.212431270004378,0.150172120047806,0.395352818154589,0.0249526117945305,20.2521780252055
"46",2017,"UNEMAT",37,36,1,0,0,0,0.972972972972973,0,37,1,0.027027027027027,0.0613693289378241,-0.825902259196116,-0.146747025261898,0.156194285273077,0.0675559616131477,0.0331450821943367,9.88179871605094
"47",2018,"MTPAR",36,6,29,0,1,0,0.194444444444444,0,36,1,0.805555555555556,0.0370079940208504,1.60087843545363,-0.350293648798736,0.152400976850568,0.803391528220098,0.0077577203567488,33.4823685339147
"48",2018,"CEASA",35,0,4,31,0,0,0,0.885714285714286,4,8.75,1,-0.619425478903374,2.17697162781767,-0.389678373995444,0.0501875870610953,0.97807144946563,0.00284545872317849,34.5053649474639
"49",2019,"INTERMAT",35,0,35,0,0,0,0,0,35,1,1,0.0066655778125069,2.20709697894959,-0.401147484863895,0.147676353041788,0.987205898601583,0.00141497335076905,39.2064169973447
"50",2016,"SEGES",34,22,4,0,6,2,0.823529411764706,0,34,1,0.117647058823529,0.0265674756773476,-0.535432867653994,1.25366029183319,0.150775281612489,0.155630549390525,0.207810948231973,15.5341302383979
